org,repo,github_url,ai_adoption_date,repo_type
anthropics,model-cards,https://github.com/anthropics/model-cards,,side
anthropics,mythos-5-incident-transcript,https://github.com/anthropics/mythos-5-incident-transcript,,side
anthropics,nix-eval-jobs,https://github.com/anthropics/nix-eval-jobs,,side
anthropics,oncall-kit,https://github.com/anthropics/oncall-kit,2026-08-06,side
anthropics,OpenROAD-flow-scripts,https://github.com/anthropics/OpenROAD-flow-scripts,2026-04-27,side
anthropics,original_performance_takehome,https://github.com/anthropics/original_performance_takehome,,side
anthropics,orjson,https://github.com/anthropics/orjson,,side
anthropics,political-neutrality-eval,https://github.com/anthropics/political-neutrality-eval,,side
anthropics,prompt-eng-interactive-tutorial,https://github.com/anthropics/prompt-eng-interactive-tutorial,,side
anthropics,PySvelte,https://github.com/anthropics/PySvelte,,side
anthropics,python-tblib,https://github.com/anthropics/python-tblib,,side
anthropics,raft-rs,https://github.com/anthropics/raft-rs,,side
